code_bassin;demandeurs_emploi;secteur_libelle
8446;35;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
8446;29;Arts, spectacles et activités récréatives
8446;3;Agriculture, sylviculture et pêche
8446;2;Activité inconnue
8446;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
8445;265;Commerce -  réparation d'automobiles et de motocycles
8445;121;Transports et entreposage
8445;118;Santé humaine et action sociale
8445;115;Construction
8445;112;Hébergement et restauration
8445;86;Industrie manufacturière
8445;78;Activités spécialisées, scientifiques et techniques
8445;59;Activités de services administratifs et de soutien
8445;41;Administration publique
8445;16;Autres activités de services
8445;15;Enseignement
8445;12;Arts, spectacles et activités récréatives
