annee;ROME;rome_label;cbassin;lib_bassin_bmo19;oee;defm_abc;ind_tension_d
2020;H1206;Management et ingénierie études, recherche et développement industriel;9333;AIX  GARDANNE SALON;84;82;5
2020;H1210;Intervention technique en études, recherche et développement;9333;AIX  GARDANNE SALON;45;7;5
2020;H1302;Management et ingénierie Hygiène Sécurité Environnement -HSE- industriels;9333;AIX  GARDANNE SALON;25;13;5
2020;H1401;Management et ingénierie gestion industrielle et logistique;9333;AIX  GARDANNE SALON;16;3;5
2020;H1404;Intervention technique en méthodes et industrialisation;9333;AIX  GARDANNE SALON;49;2;5
2020;H1502;Management et ingénierie qualité industrielle;9333;AIX  GARDANNE SALON;55;28;5
2020;H1503;Intervention technique en laboratoire d'analyse industrielle;9333;AIX  GARDANNE SALON;51;1;1
2020;H2102;Conduite d'équipement de production alimentaire;9333;AIX  GARDANNE SALON;95;8;5
2020;H2206;Réalisation de menuiserie bois et tonnellerie;9333;AIX  GARDANNE SALON;50;13;4
2020;H2301;Conduite d'équipement de production chimique ou pharmaceutique;9333;AIX  GARDANNE SALON;9;4;5
2020;H2502;Management et ingénierie de production;9333;AIX  GARDANNE SALON;92;30;5
2020;H2602;Câblage électrique et électromécanique;9333;AIX  GARDANNE SALON;82;1;4
2020;H2603;Conduite d'installation automatisée de production électrique, électronique et microélectronique;9333;AIX  GARDANNE SALON;56;7;5
2020;H2605;Montage et câblage électronique;9333;AIX  GARDANNE SALON;6;2;4
2020;H2901;Ajustement et montage de fabrication;9333;AIX  GARDANNE SALON;35;8;4
2020;H2902;Chaudronnerie - tôlerie;9333;AIX  GARDANNE SALON;45;5;5
2020;H2903;Conduite d'équipement d'usinage;9333;AIX  GARDANNE SALON;31;3;5
2020;H2909;Montage-assemblage mécanique;9333;AIX  GARDANNE SALON;51;6;5
2020;H2913;Soudage manuel;9333;AIX  GARDANNE SALON;35;1;3
2020;H3301;Conduite d'équipement de conditionnement;9333;AIX  GARDANNE SALON;80;7;5
2020;H3302;Opérations manuelles d'assemblage, tri ou emballage;9333;AIX  GARDANNE SALON;87;27;4
2020;I1102;Management et ingénierie de maintenance industrielle;9333;AIX  GARDANNE SALON;25;4;5
2020;I1103;Supervision d'entretien et gestion de véhicules;9333;AIX  GARDANNE SALON;38;5;5
2020;I1203;Maintenance des bâtiments et des locaux;9333;AIX  GARDANNE SALON;143;1;3
2020;I1302;Installation et maintenance d'automatismes;9333;AIX  GARDANNE SALON;46;4;5
2020;I1304;Installation et maintenance d'équipements industriels et d'exploitation;9333;AIX  GARDANNE SALON;247;18;5
2020;I1305;Installation et maintenance électronique;9333;AIX  GARDANNE SALON;46;10;5
2020;I1306;Installation et maintenance en froid, conditionnement d'air;9333;AIX  GARDANNE SALON;117;15;5
2020;I1307;Installation et maintenance télécoms et courants faibles;9333;AIX  GARDANNE SALON;157;23;5
2020;I1309;Maintenance électrique;9333;AIX  GARDANNE SALON;89;8;5
2020;I1310;Maintenance mécanique industrielle;9333;AIX  GARDANNE SALON;22;1;5
2020;I1401;Maintenance informatique et bureautique;9333;AIX  GARDANNE SALON;276;45;5
2020;I1501;Intervention en grande hauteur;9333;AIX  GARDANNE SALON;4;9;3
2020;I1602;Maintenance d'aéronefs;9333;AIX  GARDANNE SALON;34;5;5
2020;I1604;Mécanique automobile et entretien de véhicules;9333;AIX  GARDANNE SALON;248;58;5
2020;I1606;Réparation de carrosserie;9333;AIX  GARDANNE SALON;45;19;5
2020;J1202;Pharmacie;9333;AIX  GARDANNE SALON;294;1;5
2020;J1301;Personnel polyvalent des services hospitaliers;9333;AIX  GARDANNE SALON;33;3;2
2020;J1303;Assistance médico-technique;9333;AIX  GARDANNE SALON;63;1;4
2020;J1304;Aide en puériculture;9333;AIX  GARDANNE SALON;31;2;4
